PIN,S_SEX,S_AGE,EDU,NATIVE_LANG,WHERE_RAISED,NSIDES,SIDE_DATA
1454,F,52,17,English,MA,2,00414_A/f.a;01454_B/f.a
1457,M,18,12,English,IN,1,00464_B/m.a
1459,F,24,16,English,NY,2,00026_A/f.a;00242_A/f.o
1460,F,25,16,English,CA,1,00239_A/f.a
1461,M,27,12,English,KY,2,01239_B/m.a;03131_B/m.a
1465,M,50,16,English,OH,1,00573_A/m.a
1467,M,37,16,English,NY,3,00054_A/m.a;00249_A/m.a;00291_B/m.a
1468,M,20,14,English,NJ,1,00532_B/m.a
1472,F,34,18,English,PA,1,00745_A/f.a
1475,F,27,12,English,OH,3,00486_A/f.a;01886_A/f.a;02043_A/f.a
1477,F,59,12,English,MO,1,00740_A/f.a
1478,F,36,12,English,NE,1,01001_B/f.a
1480,F,18,12,English,MD,2,00916_B/f.a;02947_A/f.a
1489,F,43,16,English,WI,3,01090_B/f.a;06276_B/f.a;06633_B/f.a
1493,M,65,16,English,RI,1,00418_B/m.a
1496,F,31,12,English,NY,2,01074_A/f.a;07232_B/f.a
1500,F,28,12,English,WI,1,00728_B/f.a
1503,F,51,15,English,IL,3,01150_A/f.a;01383_A/f.a;02068_A/f.a
1507,F,29,20,English,IA,2,00038_A/f.a;00150_B/f.a
1509,F,49,15,English,CO,1,01116_B/f.a
1517,F,40,13,English,Ireland,1,00643_B/f.a
1520,F,31,12,English,IA,1,00876_B/f.a
1521,M,40,16,English,IN,1,02110_B/m.a
1522,M,39,19,English,IL,3,00220_B/m.a;00247_B/m.a;02147_B/m.a
1524,M,71,17,English,PA,3,01331_B/m.a;03192_A/m.a;03471_A/m.a
1527,F,46,15,English,OK,2,01149_B/f.a;07005_A/f.a
1529,M,27,14,English,NY,2,00222_B/m.a;00263_B/m.a
1530,M,36,14,English,FL,1,01850_B/m.a
1534,F,17,13,English,IL,1,01326_B/f.a
1539,F,40,14,English,MD,3,00564_A/f.a;01485_A/f.a;01588_A/f.a
1541,F,45,15,English,MO,1,00844_B/f.a
1548,F,49,16,English,CA,2,00930_A/f.a;01969_A/f.a
1554,M,47,16,English,NA,2,01372_B/m.a;03418_A/m.a
1556,F,25,16,English,FL,1,01171_B/f.a
1561,F,30,18,English,CA,1,00867_A/f.a
1562,F,32,17,English,PA,1,00610_A/f.a
1565,F,39,18,English,KY,1,01052_B/f.a
1569,F,22,16,English,NC,1,00303_A/f.a
1573,F,45,14,English,ME,1,00686_A/f.a
1574,F,38,12,English,MI,2,00994_A/f.a;01507_A/f.a
1578,F,25,17,English,PA,1,00515_B/f.a
1580,F,21,15,English,IL,1,00805_A/f.a
1590,F,34,12,English,TX,1,00570_A/f.a
1591,F,36,15,English,OH,1,01000_A/f.a
1595,F,28,14,English,CA,2,01294_A/f.a;08055_A/f.a
1599,F,29,12,English,NY,1,00648_B/f.a
1602,F,45,13,English,GA,1,00785_B/f.a
1603,F,35,21,English,WV,3,00064_A/f.a;00092_A/f.a;00144_B/f.a
1604,F,24,16,English,PA,1,00410_A/f.a
1607,F,28,12,English,TN,1,00877_B/f.a
1609,F,42,15,English,IL,1,00757_A/f.a
1614,F,32,14,English,MI,2,00449_B/f.a;02436_A/m.a
1618,M,40,22,Chinese,China,1,00803_A/m.o
1621,F,48,14,English,MD,1,03966_A/f.a
1624,F,48,18,English,NY,1,08275_A/f.a
1626,F,26,16,English,OH,1,00658_A/f.a
1631,F,60,14,English,IL,2,00992_A/f.a;01380_B/f.a
1632,F,41,14,English,CA,2,00894_B/f.a;01349_B/f.a
1633,M,53,12,English,WI,3,01015_B/m.a;03011_A/m.a;03533_A/m.a
1635,F,61,16,English,MN,1,00500_B/f.a
1636,F,39,14,English,AL,1,01442_B/f.a
1638,F,48,15,English,CT,3,00993_B/f.a;04989_A/m.a;06490_B/f.a
1639,M,41,12,English,KY,1,00515_A/m.a
1643,F,46,27,German,Germany,1,00360_A/f.o
1646,M,82,18,English,NY,2,00232_A/m.a;00264_B/m.a
1650,F,38,12,English,NA,2,01553_A/f.a;02705_B/f.a
1652,F,21,15,Hebrew,NJ,1,00319_A/f.a
1655,F,44,18,English,GA,1,01336_B/f.a
1657,F,19,13,English,NY,2,01229_A/f.a;06731_A/f.a
1661,F,20,12,English,MN,1,01252_A/f.a
1663,F,18,12,English,IL,2,00173_A/f.a;00288_B/f.a
1664,M,47,13,English,WA,1,03341_A/m.a
1666,F,61,20,English,MN,1,00719_A/f.a
1668,F,32,16,English,CA,1,02236_A/f.a
1673,F,30,14,English,OH,1,00726_A/f.a
1675,M,31,14,English,NA,3,01118_B/m.a;01351_B/f.a;01483_B/f.a
1677,F,65,17,English,GA,2,01427_B/f.a;02811_A/f.a
1678,F,31,12,English,KS,1,00558_B/f.a
1681,M,43,16,English,PA,3,00417_A/m.a;04064_A/m.a;04358_A/m.a
1682,F,31,13,English,MO,1,00449_A/f.a
1685,F,25,16,English,NJ,1,00658_B/f.a
1686,F,42,16,English,OH,2,01078_B/f.a;02865_B/f.a
1687,M,32,16,English,PA,1,00394_A/m.a
1688,F,27,16,English,GA,1,01033_B/f.a
1695,M,24,18,Russian,MA,2,00164_B/m.a;00209_B/m.a
1697,F,29,14,English,WI,4,00036_A/f.a;00065_B/f.a;00094_B/f.a;00152_B/f.a
1703,F,44,12,English,PA,3,01073_B/f.a;02454_B/f.a;02655_B/f.a
1704,M,41,12,English,GA,1,01149_A/m.a
1707,F,23,16,English,AZ,2,00579_B/f.a;01454_A/f.a
1711,M,26,20,Russian,NA,1,00215_B/m.o
1723,M,37,25,German,Switzerland,2,00470_B/m.o;09123_A/m.o
1724,F,23,12,English,NV,1,00571_B/f.a
1725,F,45,16,English,TX,2,00944_B/f.a;08001_A/f.a
1726,F,51,14,English,MO,1,00609_B/f.a
1727,F,29,15,English,OH,2,00979_A/f.a;07438_A/f.a
1728,M,56,16,English,TX,3,01307_A/m.a;02920_A/m.a;03162_B/m.a
1733,M,47,16,English,PA,1,00437_B/m.a
1734,F,46,17,English,CT,3,00572_B/f.a;01482_B/f.a;01662_B/f.a
1735,F,60,16,English,MI,2,01103_B/f.a;06052_A/f.a
1739,F,37,17,English,OH,1,00693_B/f.a
1740,M,24,16,Mandarin,NA,1,00738_A/m.a
1743,F,39,18,English,OH,3,01234_B/f.a;02797_A/f.a;08324_A/f.a
1744,F,24,16,English,LA,1,01208_A/f.a
1749,F,35,14,English,VA,1,03295_A/f.a
1755,NA,NA,NA,NA,NA,1,00827_B/m.a
1756,F,21,16,English,NJ,3,00098_A/f.a;06010_A/f.a;06917_B/f.a
1761,F,38,12,English,CA,1,01102_A/f.a
1769,F,52,20,English,PA,1,01758_A/f.a
1771,M,21,16,English,NY,2,01254_B/m.a;04902_B/m.a
1772,F,21,15,English,France,1,00266_A/f.a
1777,F,41,16,English,NA,3,00645_B/f.a;01799_B/f.a;01980_A/f.a
1778,F,57,17,English,VA,3,01300_B/f.a;02798_A/f.a;08230_B/f.a
1780,F,29,18,English,Canada,2,00035_A/f.a;00139_A/f.a
1781,F,60,12,English,CA,3,02235_B/f.a;02335_B/f.a;02971_A/f.a
1782,M,51,12,English,NY,3,00679_A/m.a;05213_B/m.a;07351_B/m.a
1783,F,25,12,English,OH,1,04501_A/f.a
1787,F,37,16,English,NY,1,00743_A/f.a
1788,F,58,14,English,IN,1,01154_A/f.a
1789,F,20,14,English,CA,1,00315_B/f.a
1790,F,24,16,English,NJ,2,00001_B/f.a;00012_A/f.a
1793,F,26,21,English,NA,2,00169_A/f.a;00222_A/f.a
1799,M,47,16,English,Canada,1,00315_A/m.a
1800,F,27,16,English and Hindi,NE,2,00832_A/f.o;03928_B/f.o
1801,M,19,12,English,IA,1,01288_B/m.a
1807,F,19,12,English and Yoruba,Nigeria,2,01184_B/f.a;01663_B/f.a
1810,F,43,22,English,WY,2,00526_A/f.a;01745_B/f.a
1812,F,33,20,English,NA,3,00793_A/f.a;01560_A/f.a;03891_B/f.a
1816,F,53,20,English,NJ,1,00518_A/f.a
1818,M,36,19,English,MD,3,00027_A/m.a;00141_A/m.a;01829_A/m.a
1826,F,34,13,English,PA,2,01056_A/f.a;06757_A/f.a
1827,F,37,14,English,CA,1,01084_A/f.a
1840,F,27,19,English,NJ,1,00293_B/f.a
1841,F,45,14,English,NY,1,00700_B/f.a
1844,F,49,15,English,TX,1,01693_A/f.a
1845,M,20,14,Mandarin,Taiwan,2,01231_B/m.a;03001_B/m.a
1847,F,39,12,English,PA,3,00777_A/f.a;04024_A/f.a;07993_B/f.a
1855,F,25,12,English,PA,2,01024_A/f.a;03911_B/f.a
1859,F,54,12,English,NA,2,01242_B/f.a;02914_B/f.a
1860,F,51,19,English,CA,3,01241_B/f.a;06016_B/f.a;06866_A/f.a
1861,F,19,13,English,NY,1,00311_A/f.a
1863,M,28,22,English,PA,2,00333_B/m.a;05193_A/m.a
1868,F,29,15,English,IN,2,01501_B/f.a;01505_A/f.a
1876,F,46,18,English,IL,3,06137_A/f.a;06473_B/f.a;06704_A/f.a
1886,M,42,14,English,CO,2,01389_A/m.a;02069_A/m.a
1887,F,67,16,English,TX,1,07409_A/f.a
1895,F,26,17,English,TN,1,01059_A/f.a
1896,M,21,14,English,TX,4,01154_B/m.a;01605_B/m.a;01692_B/m.a;01778_A/m.a
1897,F,29,12,English,WA,2,02869_B/f.a;06852_B/f.a
1900,F,41,16,English,UT,1,00671_B/f.a
1904,F,45,12,English,AR,3,00483_B/f.a;01461_A/f.a;01746_B/f.a
1909,F,41,16,English,CA,2,01104_B/f.a;01612_B/f.a
1918,F,20,13,English,WA,2,00110_A/f.a;00285_B/f.a
1919,F,30,13,English,TX,3,00940_A/f.a;01426_B/f.a;01449_A/f.a
1927,F,49,18,English,NJ,1,06148_A/f.a
1928,M,28,20,Chinese,TX,1,01338_A/m.o
1929,F,54,3,English,NC,1,02870_B/f.a
1937,M,48,14,English,IL,1,01155_A/m.a
1939,F,34,24,Bulgarian,Bulgaria,1,00778_B/f.o
1940,F,28,12,English,TX,1,00558_A/f.a
1942,F,19,12,English,FL,2,07716_B/f.a;07872_A/f.a
1943,F,25,19,Mandarin,NA,1,00066_A/f.o
1945,M,36,16,English,NA,1,00404_A/m.a
1948,M,24,18,English,IN,3,00163_A/m.a;00252_B/m.a;00289_B/m.a
1953,F,43,13,English,MT,1,00757_B/f.a
1954,F,52,16,English,CA,3,01145_A/f.a;01570_A/f.a;01955_B/f.a
1958,F,56,16,English,IA,5,01199_B/f.a;01573_A/f.a;01607_B/f.a;01700_A/f.a;03239_A/f.a
1960,F,59,13,English,WA,3,01204_B/f.a;01397_B/f.a;01696_A/f.a
1963,M,35,18,English,TX,1,01184_A/m.a
1970,F,29,18,English,CA,2,06762_B/f.a;06916_A/f.a
1972,F,56,18,English,PA,2,05950_A/f.a;06261_B/f.a
1975,M,29,20,Chinese,Taiwan,1,01203_A/m.a
1980,F,31,18,English,MA,1,00503_A/f.a
1981,M,26,16,English,TX,1,00339_B/m.a
1982,F,49,16,English,NJ,1,00385_B/f.a
1984,F,50,12,English,WV,2,01282_A/f.a;01739_A/f.a
1985,M,33,20,English,NA,1,00383_A/m.a
1986,F,27,21,Chinese,China,1,00464_A/f.o
1987,M,20,14,English,TX,1,00293_A/m.a
1989,F,52,14,English,CA,1,08468_A/m.a
1994,F,41,12,English,OH,3,01035_B/f.a;04494_B/f.a;07796_A/f.a
2002,F,25,16,English,MS,1,00785_A/f.a
2004,F,41,14,English,MD,3,00014_B/f.a;00107_B/f.a;00286_B/f.a
2006,M,50,16,English,NY,3,00708_B/m.a;04781_A/m.a;04980_A/m.a
2011,F,28,20,English,MN,3,00196_A/f.a;00231_B/f.a;03754_A/f.a
2014,M,19,13,English,FL,1,00803_B/m.a
2019,F,29,22,Korean,Korea,1,00776_B/f.o
2020,F,40,12,English,OR,3,01121_A/f.a;02871_A/f.a;04667_A/f.a
2023,F,49,16,English,TN,3,06278_A/f.a;07077_B/f.a;07222_A/f.a
2028,M,27,21,Chinese,China,2,00075_A/m.o;00148_A/m.o
2029,M,26,13,English,GA,2,01092_B/m.a;07776_B/f.a
2033,M,20,15,English,KY,1,02962_B/m.a
2034,F,46,14,English,CO,1,01094_B/f.a
2037,M,50,26,English,PA,3,05347_B/m.a;05425_A/m.a;07881_A/m.a
2040,M,78,20,English,RI,2,01302_B/m.a;01367_A/m.a
2050,F,37,20,English,OH,2,00186_B/f.a;00265_A/f.a
2055,F,31,17,Arabic,Jordan,1,00272_A/m.o
2057,F,41,16,German,Germany,1,00652_B/f.o
2059,M,24,16,English,ID,2,01485_B/m.a;02858_A/f.a
2066,F,27,18,Japanese,NA,4,00005_B/f.o;00061_A/f.o;00089_B/f.o;00145_B/f.o
2068,F,20,12,English,NY,1,00453_B/f.a
2070,F,29,13,English,OK,1,01245_A/f.a
2071,NA,NA,NA,English,NA,1,00634_B/f.a
2074,F,51,20,English,NJ,1,00548_A/f.a
2076,F,47,12,English,CA,2,01676_A/f.a;06489_A/f.a
2077,M,42,12,English,NC,2,01347_A/m.a;01465_A/m.a
2078,M,32,12,English,OH,1,00425_B/m.a
2079,F,39,12,English,PA,1,00549_B/f.a
2083,F,51,20,English,NJ,1,00214_A/f.a
2084,M,20,14,English,OH,4,00022_B/m.a;00049_A/m.a;00108_B/m.a;00276_A/m.a
2085,F,44,17,English,NY,1,02903_B/f.a
2089,F,37,12,English,IL,2,00995_A/f.a;09030_A/f.a
2090,F,33,16,English,TX,2,01123_B/f.a;01515_B/f.a
2092,F,27,15,English,NA,2,01182_B/f.a;01449_B/f.a
2093,F,31,16,English,NV,2,00989_A/f.a;03236_A/f.a
2094,F,26,16,English,LA,4,01237_B/f.a;01360_B/f.a;01367_B/f.a;03240_B/f.a
2096,F,36,12,English,IA,2,03095_A/f.a;06249_A/f.a
2102,M,25,14,English,CA,1,00778_A/m.a
2107,F,23,12,English,TX,3,01083_B/f.a;05939_B/f.a;06420_B/f.a
2108,F,30,16,English,RI,2,00645_A/f.a;03372_A/f.a
2114,F,35,16,English,IL,1,00826_A/f.a
2116,F,53,16,English,MN,1,00452_B/f.a
2117,F,31,15,English,CA,1,01094_A/f.a
2119,F,34,12,English,CA,1,01012_A/f.a
2124,M,50,12,English,PA,3,02756_A/m.a;03002_A/m.a;04869_A/m.a
2125,M,30,14,NA,PA,2,01173_B/m.a;10910_A/m.a
2130,F,54,12,English,MI,3,00445_B/f.a;02020_A/f.a;04633_A/f.a
2137,F,30,13,English,IA,1,00562_B/f.a
2140,F,48,16,English,NH,3,01140_B/f.a;01463_B/f.a;01627_B/f.a
2141,M,22,16,English,PA,1,01326_A/m.a
2143,F,22,12,English,PA,1,00787_A/f.a
2145,M,40,16,English,AK,3,04595_A/m.a;05446_A/m.a;07146_B/m.a
2152,F,34,22,English,UT,1,00002_A/f.a
2155,M,33,14,English,MA,1,00850_B/m.a
2159,F,58,20,English,NA,2,00052_B/f.a;00124_B/f.a
2161,F,36,14,English,VA,1,00439_A/f.a
2168,F,51,18,English,IN,2,00765_B/f.a;01662_A/f.a
2171,F,37,16,English,CA,2,01031_A/f.a;01389_B/f.a
2172,F,32,15,Hindi,NA,2,00037_A/m.o;00225_A/f.o
2174,F,49,15,English,GA,3,01193_A/f.a;01544_B/f.a;05953_B/f.a
2178,F,55,12,English,CA,1,00527_A/f.a
2181,F,33,19,English,CT,3,00109_B/f.a;00166_B/f.a;00289_A/f.a
2185,F,38,15,Hindi,India,1,04724_A/f.o
2186,F,22,13,English,MD,3,01238_A/f.a;02378_B/f.a;02397_A/f.a
2190,F,53,12,English,NA,1,00384_A/f.a
2191,F,49,16,English,TN,2,01404_A/f.a;01699_B/f.a
2192,M,34,18,Latvian,Lithuania,2,00189_A/m.o;00229_A/m.o
2193,F,25,12,English,DE,1,00504_A/f.a
2195,F,20,13,English,VA,3,00702_A/f.a;01569_B/f.a;01648_B/f.a
2196,F,49,12,English,KS,3,00588_A/f.a;02962_A/f.a;03749_A/f.a
2199,M,28,12,English,IL,3,00390_B/m.a;01455_B/m.a;03108_A/m.a
2200,F,49,14,English,MO,3,02576_A/f.a;03570_A/f.a;06398_A/f.a
2208,F,48,16,English,AZ,1,00363_B/f.a
2215,F,34,18,Chinese,NA,1,00396_A/f.o
2224,F,24,17,English,CA,1,00021_A/f.a
2233,F,45,19,English,CT,4,00010_A/f.a;00069_A/f.a;00099_A/f.a;00161_B/f.a
2237,F,39,12,English,MI,2,06080_B/f.a;06376_A/f.a
2238,F,28,19,English,TX,1,00942_B/f.a
2241,F,27,12,English,WV,1,01274_A/f.a
2243,F,32,14,English,GA,2,00508_A/f.a;06768_B/f.a
2245,F,29,21,Hebrew,Israel,1,00397_A/f.o
2249,F,50,14,English,NC,2,01550_B/f.a;01587_B/f.a
2255,M,23,16,German,Germany,1,00793_B/m.o
2258,M,25,14,English,NM,3,01243_A/m.a;01385_A/m.a;01856_B/m.a
2260,F,36,16,English,MI,1,00744_B/f.a
2263,F,26,12,English,FL,1,01312_B/f.a
2264,M,24,16,English,NC,2,04506_B/f.a;05269_B/m.a
2267,M,51,14,English,HI,1,00679_B/m.a
2271,F,40,14,English,CA,1,08058_B/f.a
2278,F,40,21,English,IL,2,07195_B/f.a;08791_A/f.a
2281,M,49,15,English,VA,1,00519_A/m.a
2285,M,39,16,English,SC,1,00781_B/m.a
2290,F,37,14,English,NJ,2,00905_B/f.a;01351_A/f.a
2291,F,53,14,English,NY,2,01155_B/f.a;02025_B/f.a
2292,M,30,19,English,PA,1,00316_B/m.a
2296,F,33,18,English,NY,1,00655_B/f.a
2297,M,22,12,English,AL,2,01204_A/m.a;03701_A/m.a
2301,F,25,15,English,MO,1,01421_B/f.a
2305,F,25,12,English,PA,2,00088_A/f.a;00206_B/f.a
2310,M,16,10,English,FL,1,01312_A/m.a
2313,M,59,19,Farsi,Iran,1,00384_B/m.o
2315,F,48,14,English,CT,3,00928_B/f.a;01544_A/f.a;03912_A/f.a
2327,F,39,18,Mandarin,TX,2,01491_A/f.o;01542_B/f.o
2331,M,32,14,English,AR,1,01281_A/m.a
2333,F,31,18,English,VA,2,06147_A/f.a;06425_A/f.a
2336,F,40,15,Dutch,CA,3,00891_B/f.a;01690_A/f.a;02017_B/f.a
2339,M,36,22,English,IL,1,00178_B/m.a
2345,F,33,15,English,VA,1,00348_B/f.a
2346,F,38,20,English,OH,2,00130_A/f.a;00191_A/f.a
2349,M,19,15,NA,NA,2,01197_A/m.a;04429_A/m.a
2350,F,19,15,English,OH,1,00317_A/f.a
2355,F,20,14,English,CT,1,00031_A/f.a
2358,M,19,13,English,CA,1,00769_B/m.a
2363,M,47,12,English,PA,2,00784_A/m.a;04649_B/m.a
2374,F,23,12,English,ME,1,00930_B/f.a
2376,F,47,13,English,VA,1,02057_B/m.a
2377,M,25,18,English,WA,3,00465_A/m.a;04310_A/m.a;04430_B/m.a
