CALL_ID,DATE_TIME,TOPICID,SIG_GRADE,CNV_GRADE,APIN,ASX.DL,APHNUM,APHSET,APHTYP,BPIN,BSX.DL,BPHNUM,BPHSET,BPHTYP
00026,20021206_20:14:27,ENG35,4,4,1459,f.a,413734srg,,3,7180,f.a,217365kdp,,2
00027,20021206_20:17:49,ENG35,4,4,1818,m.a,301654tmo,,2,4123,f.a,301698cjy,,3
00028,20021206_20:19:27,ENG35,4,4,3828,m.a,413737olo,,2,9817,m.o,614688esp,,2
00029,20021206_20:25:54,ENG35,4,3.5,4867,m.a,540667eht,,3,9194,f.a,563264gpb,,3
00030,20021206_20:29:33,ENG35,4,1,4052,m.a,610745glf,,1,6998,m.a,650210erv,,2
00031,20021206_20:34:09,ENG35,4,3.5,2355,f.a,401867ikp,,2,3540,m.a,413253onl,,3
00032,20021206_20:36:34,ENG35,4,4,9154,f.a,814241fqr,,1,7726,f.a,404664vej,,1
00033,20021206_20:36:43,ENG35,4,4,4866,f.a,315638bkv,,3,7428,f.a,818985bhp,,2
00034,20021206_20:40:13,ENG35,4,4,8527,f.a,585682ibc,,2,9998,m.a,215387boj,,3
00035,20021206_20:47:33,ENG35,4,4,1780,f.a,613239dcd,,3,5334,m.a,215483niy,,3
00036,20021206_21:15:33,ENG35,4,4,1697,f.a,414545xgt,,2,7130,m.o,847491jot,,3
00037,20021206_21:16:07,ENG35,4,4,2172,m.o,319353hjh,,2,7276,m.a,816806odh,,1
00038,20021206_21:23:40,ENG35,4,4,1507,f.a,414247xdh,,3,9981,m.a,215387boj,,3
00039,20021206_21:38:48,ENG35,4,3,9355,m.a,404812xbo,,2,6292,m.a,610626eqp,,3
00040,20021206_22:16:01,ENG35,4,4,5410,f.a,412648viw,,3,8774,m.a,215235jpp,,2
00041,20021206_22:17:41,ENG35,4,2.5,6436,f.a,928523ifl,,2,9620,f.a,337989iqw,,2
00042,20021206_22:21:22,ENG35,4,4,7278,f.a,928556kgv,,3,1180,f.a,319337uow,,2
00043,20021206_22:22:45,ENG35,4,4,6625,f.a,631269vjs,,2,1019,f.a,928226rcu,,3
00044,20021206_22:35:52,ENG35,4,3,1100,f.a,440666rlc,,1,9366,f.a,617817pcr,,1
00045,20021206_22:51:53,ENG35,4,4,4314,f.a,303448och,,2,8514,m.a,303665sgx,,2
00046,20021206_23:50:08,ENG35,4,4,9165,f.a,513624rns,,3,3287,f.a,617448gqg,,1
00047,20021207_14:16:26,ENG36,4,3.5,4115,m.a,434466mox,,1,2572,f.a,819697pfc,,3
00048,20021207_14:16:53,ENG37,4,4,7038,f.a,617493tgc,,3,2618,m.a,614267erp,,2
00049,20021207_14:16:55,ENG37,4,4,2084,m.a,614688gek,,3,9057,f.a,617610kgj,,1
00050,20021207_14:31:00,ENG36,4,0,1222,m.a,215483niy,,3,9448,f.a,614267erp,,3
00051,20021207_15:05:58,ENG36,4,4,4235,f.a,206459wrm,,1,6246,m.a,617905iig,,1
00052,20021207_15:15:51,ENG36,4,4,5322,f.a,414302kck,,2,2159,f.a,217344qbg,,3
00053,20021207_17:06:21,ENG36,4,4,8292,f.a,215417kqh,,3,8514,m.a,720839hkx,,1
00054,20021207_17:08:07,ENG36,4,4,1467,m.a,212877glm,,2,9985,m.a,215387boj,,
00055,20021207_17:17:22,ENG36,4,4,3139,f.a,610662jko,,1,5897,f.a,412648ygc,,2
00056,20021207_17:18:15,ENG36,4,4,2948,m.a,419494qdt,,1,4866,f.a,315638bkv,,3
00057,20021207_17:32:16,ENG36,3.5,3.5,3677,m.a,217359ols,,3,9410,f.a,617513dbb,,3
00058,20021207_17:49:04,ENG36,4,4,3518,f.a,585274mfv,,3,5701,f.a,585682ykv,,2
00059,20021207_18:48:03,ENG36,4,4,6287,f.o,773852tmp,,1,3345,f.a,414229gnd,,3
00060,20021207_20:16:52,ENG36,4,4,3172,f.a,617493pgu,,3,6596,f.o,614298sbf,,3
00061,20021207_20:18:37,ENG36,4,4,2066,f.o,917541vcu,,1,9817,m.o,614688esp,,2
00062,20021207_20:22:04,ENG36,4,4,9981,m.a,215387boj,,3,3540,m.o,413221jqe,,1
00063,20021207_20:50:28,ENG36,4,4,5334,m.a,215483niy,,3,7428,f.a,818985bhp,,2
00064,20021207_21:14:08,ENG36,4,4,1603,f.a,405447lll,,2,9998,m.a,215387boj,,3
00065,20021207_21:15:36,ENG36,4,4,9620,f.a,337989iqw,,2,1697,f.a,414545xgt,,2
00066,20021207_22:11:44,ENG36,4,4,1943,f.o,412362voc,,3,9242,f.a,330688ign,,3
00067,20021207_22:16:11,ENG36,4,4,3409,f.a,215564drf,,2,6969,f.o,301699vhe,,3
00068,20021207_22:16:30,ENG36,4,4,3287,f.a,617448gqg,,1,2770,f.a,918231sbx,,1
00069,20021207_22:46:07,ENG36,4,4,2233,f.a,928226prg,,3,7078,f.a,631269vjs,,2
00070,20021208_14:14:31,ENG37,4,4,9448,f.a,614267erp,,3,1209,m.a,617493chs,,2
00071,20021208_14:15:06,ENG37,4,4,8292,f.a,215417kqh,,3,4235,f.a,206459wrm,,1
00072,20021208_14:16:10,ENG37,4,4,5884,m.a,917771vkl,,1,6676,m.a,718442umr,,3
00073,20021208_14:29:28,ENG37,4,4,1222,m.a,215483niy,,3,6246,m.a,617905iig,,1
00074,20021208_15:15:14,ENG37,3.5,3.5,2572,f.a,819697pfc,,3,3738,f.a,773858jfq,,1
00075,20021208_15:37:58,ENG37,4,4,2028,m.o,404217wki,,1,5322,f.a,414302kck,,2
00076,20021208_16:15:45,ENG37,4,4,4115,m.a,434466mox,,1,8514,m.a,720839hkx,,1
00077,20021208_17:14:20,ENG37,4,4,2948,m.a,419494qdt,,1,3855,f.o,401225hrj,,1
00078,20021208_18:14:20,ENG37,3,3,8414,f.a,662323fml,,2,5325,m.a,651639bcf,,2
00079,20021208_18:16:34,ENG37,4,4,7445,m.o,662615pjk,,3,5701,m.a,585682ykv,,2
00080,20021208_19:15:07,ENG37,4,4,5203,f.a,765479ige,,1,1414,f.a,520325icw,,2
00081,20021208_19:32:10,ENG37,4,4,9194,f.a,563264gpb,,3,6749,f.a,405756kfo,,3
00082,20021208_20:07:17,ENG37,3.5,3.5,3139,f.a,610662jko,,1,6287,f.a,773852tmp,,1
00083,20021208_20:16:16,ENG37,4,4,4867,m.a,540667eht,,3,5997,m.a,617335kci,,1
00084,20021208_20:16:46,ENG37,4,4,9817,m.o,614688esp,,2,5334,m.a,215483niy,,3
00085,20021208_20:17:56,ENG37,4,4,3540,m.o,413221jqe,,1,6596,f.o,614298sbf,,3
00086,20021208_20:19:42,ENG37,4,4,9998,m.a,215387boj,,3,9399,f.o,352335pmm,,3
00087,20021208_20:23:42,ENG37,4,4,4123,f.a,301698cjy,,3,6478,f.o,613321kbq,,3
00088,20021208_20:23:51,ENG37,3.5,3.5,2305,f.a,703528gmw,,3,4052,m.a,610745glf,,1
00089,20021208_20:31:36,ENG37,4,4,6698,m.o,732422kif,,3,2066,f.o,917541vcu,,1
00090,20021208_20:33:46,ENG37,4,4,8527,f.a,585682ibc,,2,7314,f.a,614447tpt,,2
00091,20021208_20:47:32,ENG37,4,4,5828,f.a,503289fbj,,2,3959,f.a,607273poy,,3
00092,20021208_21:14:56,ENG37,4,4,1603,f.a,405447lll,,2,9620,f.a,337989iqw,,2
00093,20021208_21:15:21,ENG37,4,3.5,7276,m.a,816806odh,,1,3079,f.a,352335pmm,,3
00094,20021208_21:35:56,ENG37,4,4,1180,f.a,319337uow,,2,1697,f.a,414545xgt,,2
00095,20021208_21:39:58,ENG37,4,4,4129,m.a,614261isj,,3,1172,f.a,215417rlj,,2
00096,20021208_21:45:21,ENG37,4,4,3778,f.a,405332kck,,3,2770,f.a,918231sbx,,1
00097,20021208_22:14:49,ENG37,4,4,9242,f.a,330688ign,,3,8064,f.a,815754dmv,,2
00098,20021208_22:15:20,ENG37,4,4,1756,f.a,614252lih,,3,4314,f.a,303448och,,2
00099,20021208_22:16:31,ENG37,4,4,2233,f.a,928226prg,,3,9159,m.o,401383fbn,,3
00100,20021208_22:51:43,ENG37,4,4,7078,f.a,631269vjs,,2,4295,f.a,212932tqe,,2
00101,20021208_23:03:15,ENG37,4,4,3409,f.a,215564drf,,2,7849,f.a,405820dbk,,1
00102,20021208_23:17:30,ENG37,4,4,5131,m.a,202342nlk,,3,6625,f.a,631269vjs,,2
00103,20021208_23:33:09,ENG37,4,4,7396,f.o,928864vch,,3,6969,f.a,301699vhe,,3
00104,20021209_01:17:24,ENG37,4,4,7645,f.a,831420tdp,,2,9899,f.o,303443odh,,3
00105,20021209_14:16:59,ENG38,4,4,1013,f.a,240373whs,,3,2449,f.a,724836lnk,,3
00106,20021209_14:21:28,ENG38,4,4,7343,f.a,407823ufx,,3,6552,m.a,404378tnw,,2
00107,20021209_14:23:23,ENG38,4,4,6968,m.a,646229frr,,1,2004,f.a,301405fmn,,3
00108,20021209_14:27:54,ENG38,4,4,4115,m.a,434466mox,,1,2084,m.a,614688gek,,3
00109,20021209_14:47:29,ENG38,4,4,1201,m.a,919515ynr,,3,2181,f.a,973655nkq,,3
00110,20021209_14:48:34,ENG38,4,4,1918,f.a,617493elo,,2,7285,f.a,215898urk,,3
00111,20021209_14:53:30,ENG38,4,4,2392,m.a,215573rht,,3,9311,f.a,801368cqd,,1
00112,20021209_14:56:28,ENG38,4,4,4913,f.a,215573rch,,3,2618,m.a,614267erp,,2
00113,20021209_15:15:02,ENG38,4,4,9994,m.a,781981nfb,,3,8124,f.a,417882ojt,,3
00114,20021209_15:16:21,ENG38,4,4,9194,f.a,563264gpb,,3,8000,m.a,319335hcv,,3
00115,20021209_15:24:48,ENG38,4,4,3696,f.a,404931icn,,1,7981,m.a,617429qic,,1
00116,20021209_15:27:51,ENG38,4,4,9979,f.a,215573ghu,,3,9355,m.a,404812xbo,,2
00117,20021209_15:33:38,ENG38,4,4,1222,m.a,215483niy,,3,1066,m.a,215605bbq,,1
00118,20021209_15:51:50,ENG38,4,4,6676,m.a,718442umr,,3,3473,m.a,212265mml,,2
00119,20021209_16:02:39,ENG38,4,4,5850,f.a,414382llk,,3,9448,f.a,614267erp,,3
00120,20021209_16:53:42,ENG38,4,4,7036,f.a,856784sbj,,3,8522,f.o,215573lrd,,3
00121,20021209_17:17:07,ENG38,4,4,7915,m.a,610648oif,,3,7679,f.a,202441lrs,,1
00122,20021209_17:17:55,ENG38,4,4,8453,f.a,360695mjl,,3,2669,f.o,510657jne,,3
00123,20021209_17:19:09,ENG38,4,4,4612,f.a,714593eoj,,3,3518,f.a,585274mfv,,3
00124,20021209_17:53:10,ENG38,4,3.5,4866,f.a,315638bkv,,3,2159,f.a,217344qbg,,3
00125,20021209_18:15:28,ENG38,3.5,4,5325,m.a,651639bcf,,2,3292,f.a,630355fmb,,3
00126,20021209_18:27:24,ENG38,4,3.5,2572,f.a,819697pfc,,3,5195,f.a,217328hgl,,2
00127,20021209_18:48:20,ENG38,4,4,3833,f.a,781648fjy,,1,6749,f.a,405756kfo,,3
00128,20021209_18:54:51,ENG38,4,4,3855,f.o,401225hrj,,1,3139,f.a,610662jko,,1
00129,20021209_19:50:13,ENG38,4,4,3888,f.a,928523ipj,,2,6744,f.a,801765fbd,,3
00130,20021209_19:56:00,ENG38,4,4,2346,f.a,703534dnt,,3,5701,m.o,585682ykv,,2
00131,20021209_20:15:03,ENG38,4,4,8335,f.a,302529cex,,2,9916,f.a,603253dom,,3
00132,20021209_20:19:58,ENG38,4,4,7816,m.a,212777qhy,,2,6407,f.a,646515trc,,1
00133,20021209_20:23:46,ENG38,4,4,6800,f.a,410833bgp,,2,3564,m.a,703368bdk,,3
00134,20021209_20:24:19,ENG38,4,4,8609,f.a,814404qil,,1,2667,f.a,781646hgc,,3
00135,20021209_20:30:19,ENG38,4,4,5825,f.a,585274kfb,,3,6673,f.a,412422xii,,2
00136,20021209_20:31:43,ENG38,4,4,9817,m.o,614688esp,,2,8199,f.a,404550ubg,,1
00137,20021209_20:38:45,ENG38,4,4,4052,m.a,610745glf,,1,4123,f.a,301698cjy,,3
00138,20021209_20:40:33,ENG38,4,4,7428,f.a,818985bhp,,2,8745,f.a,617868mlt,,3
00139,20021209_20:41:31,ENG38,4,4,1780,f.a,613239dcd,,3,7314,f.a,614447tpt,,2
00140,20021209_20:56:26,ENG38,4,4,8527,f.a,585682ibc,,2,3207,f.a,617493fhr,,2
00141,20021209_21:05:12,ENG38,4,4,1818,m.a,301654tmo,,2,6998,m.a,650210erv,,2
00142,20021209_21:10:09,ENG38,3.5,3.5,4129,m.a,614261isj,,3,9399,f.o,352335pmm,,3
00143,20021209_21:15:41,ENG38,4,4,7849,f.a,405820dbk,,1,6818,f.o,573771ebt,,2
00144,20021209_21:17:05,ENG38,4,4,9981,m.a,215387boj,,3,1603,f.a,405447lll,,2
00145,20021209_21:18:37,ENG38,3,3,9526,m.a,240686xhh,,3,2066,f.o,917541vcu,,1
00146,20021209_21:24:53,ENG38,4,4,2722,f.a,215731qct,,3,8733,m.a,734834gij,,1
00147,20021209_21:28:40,ENG38,4,4,4419,f.a,267253ifn,,1,3836,f.a,423282qkq,,3
00148,20021209_21:31:45,ENG38,4,4,2028,m.o,404315kmx,,3,9620,f.a,337989iqw,,2
00149,20021209_21:32:27,ENG38,2,2,8948,f.a,520546xdg,,2,9998,m.a,215387boj,,3
00150,20021209_21:39:42,ENG38,4,4,1414,f.a,520325icw,,2,1507,f.a,414247xdh,,3
00151,20021209_21:48:13,ENG38,4,3.5,7751,m.a,847845igc,,1,3079,f.o,352335pmm,,3
00152,20021209_21:51:15,ENG38,3.5,3.5,5890,f.a,215733ybf,,3,1697,f.a,414545xgt,,2
00153,20021209_22:03:28,ENG38,4,3.5,5261,f.a,504241vle,,3,7276,m.a,816806odh,,1
00154,20021209_22:06:14,ENG38,4,4,5997,m.a,617335kci,,1,1180,f.a,319337uow,,2
00155,20021209_22:17:41,ENG38,4,4,7174,m.a,617493uhq,,3,4776,f.a,614299mgg,,2
00156,20021209_22:21:19,ENG38,4,4,7596,f.a,319351xne,,2,9242,f.a,330688ign,,3
00157,20021209_22:23:35,ENG38,4,4,1019,f.a,928226rcu,,3,3409,f.a,215564drf,,2
00158,20021209_23:11:57,ENG38,4,4,6969,f.o,301699vhe,,3,6436,f.o,928523ifl,,2
00159,20021209_23:25:34,ENG38,4,3,7278,f.a,928556kgv,,3,7078,f.a,631269vjs,,2
00160,20021209_23:26:52,ENG38,4,3,7396,f.o,928864vch,,3,4314,f.a,303448och,,2
00161,20021209_23:49:12,ENG38,4,4,4295,f.a,212932tqe,,2,2233,f.a,928226prg,,3
00162,20021210_00:00:27,ENG38,4,4,4142,f.a,520319vck,,2,9165,f.a,513624rns,,3
00163,20021210_14:16:46,ENG39,4,4,1948,m.a,412841ohw,,1,8880,f.a,814280qbd,,1
00164,20021210_14:17:35,ENG39,4,4,9988,f.a,215573nkr,,3,1695,m.a,412268dpg,,3
00165,20021210_14:20:31,ENG39,4,4,6552,m.a,404378tnw,,2,3473,m.a,212265mml,,2
00166,20021210_14:20:34,ENG39,4,4,2449,f.a,724836lnk,,3,2181,f.a,973655nkq,,3
00167,20021210_14:47:45,ENG39,4,3.5,9972,f.a,215898ubj,,3,8199,f.a,404550ubg,,1
00168,20021210_14:49:47,ENG39,4,4,3327,f.a,781283ycu,,3,7343,f.a,407823ufx,,3
00169,20021210_15:10:06,ENG39,4,3,1793,f.a,309820pdl,,3,9993,f.a,847491ljn,,3
00170,20021210_15:11:05,ENG39,4,4,8971,m.a,646526qjg,,1,3696,f.a,404931icn,,1
00171,20021210_15:16:08,ENG39,4,3,8124,f.a,417882ojt,,3,8000,m.a,319335hcv,,3
00172,20021210_15:55:01,ENG39,4,4,7285,f.a,215898urk,,3,2392,m.a,215573rht,,3
00173,20021210_16:02:53,ENG39,4,3,1663,f.a,630294lbd,,1,7981,m.a,617429qic,,1
00174,20021210_16:06:55,ENG39,4,3.5,2901,m.a,781981bir,,3,5135,f.a,405332blj,,3
00175,20021210_16:15:34,ENG39,4,4,9311,f.a,801368cqd,,1,5149,f.a,480703gim,,1
00176,20021210_17:14:06,ENG39,3.5,3.5,3365,f.a,614291oip,,3,9195,m.a,201788elh,,1
00177,20021210_17:18:18,ENG39,4,3,3425,m.a,412901srs,,1,4705,f.o,585274lgj,,3
00178,20021210_17:19:30,ENG39,4,4,2669,f.a,510657jne,,3,2339,m.a,503264ygq,,3
00179,20021210_17:51:38,ENG39,4,4,1119,m.o,650859vil,,3,7679,f.a,202441lrs,,1
00180,20021210_18:17:34,ENG39,4,4,8883,m.a,310206phr,,3,9948,m.a,405756kfo,,3
00181,20021210_18:48:48,ENG39,4,4,6207,f.a,630222ehl,,1,5156,f.a,928213nkc,,3
00182,20021210_19:16:49,ENG39,4,4,3888,f.a,928523ipj,,2,8355,m.a,562903dns,,3
00183,20021210_19:52:16,ENG39,4,4,4779,f.a,414447bmk,,3,4933,m.a,415377eer,,1
00184,20021210_20:05:54,ENG39,4,4,9487,f.a,919463fkn,,3,5203,f.a,765479ige,,1
00185,20021210_20:13:02,ENG39,2,2,1270,f.a,732462jnl,,3,5935,m.a,631269vjs,,1
00186,20021210_20:16:53,ENG39,4,4,9489,m.o,614268xli,,3,2050,f.a,503239bmb,,2
00187,20021210_20:18:30,ENG39,3.5,3.5,4005,f.o,202554wmh,,3,5563,f.o,734657ves,,1
00188,20021210_20:23:05,ENG39,4,4,8609,f.a,814404qil,,1,7816,m.a,212777qhy,,2
00189,20021210_20:23:26,ENG39,4,4,2192,m.o,412478lfc,,1,3564,m.a,703368bdk,,3
00190,20021210_20:34:04,ENG39,4,4,1106,f.a,401334oji,,2,8745,f.a,617868mlt,,3
00191,20021210_20:36:34,ENG39,4,4,2346,f.a,202361mpb,,1,6478,f.a,613321kbq,,3
00192,20021210_20:37:39,ENG39,4,4,2667,f.a,781646hgc,,3,2722,f.a,215731qct,,3
00193,20021210_20:52:16,ENG39,4,4,8028,f.a,617630yqm,,2,6292,m.a,610626eqp,,3
00194,20021210_21:00:28,ENG39,4,4,4419,f.a,267253ifn,,1,9795,f.a,405612igb,,1
00195,20021210_21:03:15,ENG39,4,4,3097,m.a,413567sij,,2,1441,m.a,781393fpg,,3
00196,20021210_21:08:35,ENG39,4,4,2011,f.a,818546dqo,,3,5890,f.a,215733ybf,,3
00197,20021210_21:14:45,ENG39,4,4,8335,f.a,302529cex,,2,2465,f.a,405447lll,,2
00198,20021210_21:16:19,ENG39,4,4,2487,f.a,901843rjx,,2,3852,f.a,573635gqi,,3
00199,20021210_21:17:43,ENG39,4,4,7596,f.a,319351xne,,2,3778,f.a,405332kck,,3
00200,20021210_21:45:29,ENG39,4,4,6937,f.a,215417slo,,2,4529,f.a,515572dib,,3
00201,20021210_21:51:53,ENG39,4,4,3341,f.a,802287xjg,,2,5092,f.a,215605uov,,1
00202,20021210_22:14:35,ENG39,4,4,2907,f.a,770241glw,,1,8934,f.a,781710fps,,1
00203,20021210_22:16:43,ENG39,4,4,7174,m.a,617493uhq,,3,8041,f.a,301788xdt,,1
00204,20021210_22:18:18,ENG39,4,4,4581,m.a,319354onc,,2,8774,m.a,215235jpp,,2
00205,20021210_22:38:22,ENG39,4,4,6818,f.o,573771ebt,,2,8453,f.a,360695mjl,,3
00206,20021210_22:57:48,ENG39,4,4,5261,f.a,504241vle,,3,2305,f.a,703528gmw,,3
00207,20021210_23:20:30,ENG39,4,4,4142,f.a,520319vck,,2,1100,f.a,440666rlc,,1
00208,20021211_01:45:53,ENG39,4,4,9899,f.o,303443odh,,3,5946,m.o,541681isv,,2
00209,20021211_14:19:23,ENG40,4,4,1274,f.a,215417nlh,,2,1695,m.a,412268dpg,,3
00210,20021211_14:22:43,ENG40,4,4,5167,f.a,802443red,,3,9972,f.a,215898ubj,,3
00211,20021211_14:23:10,ENG40,4,3,5728,f.a,703242sen,,2,2602,m.a,301471cqg,,1
00212,20021211_14:24:23,ENG40,4,4,5166,m.a,973509teg,,3,5180,f.a,856401kbd,,2
00213,20021211_14:25:03,ENG40,4,4,8522,f.o,215573lrd,,3,8971,m.a,646526qjg,,1
00214,20021211_14:37:22,ENG40,3.5,3.5,2083,f.a,973539dlb,,2,6569,f.a,973534lmn,,1
00215,20021211_14:49:29,ENG40,4,4,4773,m.o,301394tko,,3,1711,m.o,212939jnn,,3
00216,20021211_15:15:34,ENG40,4,2.5,4358,f.a,309383ufy,,2,3738,f.a,773858jfq,,1
00217,20021211_16:00:55,ENG40,4,4,2901,m.a,781981bir,,3,5107,f.a,212844eqb,,3
00218,20021211_16:30:57,ENG40,4,4,6937,f.a,215417slo,,2,9269,m.a,516883rov,,2
00219,20021211_16:49:02,ENG40,4,3.5,8949,f.a,215629nhk,,2,7810,f.a,212844qmq,,3
00220,20021211_16:54:12,ENG40,4,4,5135,f.a,405332blj,,3,1522,m.a,781981gos,,3
00221,20021211_17:15:48,ENG40,4,4,9971,f.a,215573xqp,,3,1244,m.a,503735mhl,,2
00222,20021211_17:17:01,ENG40,2,2,1793,f.a,309820pdl,,3,1529,m.a,607753fbg,,3
00223,20021211_17:18:43,ENG40,4,4,8271,m.o,614486reg,,2,8883,m.a,310206phr,,3
00224,20021211_18:19:10,ENG40,4,3.5,4705,f.o,585274lgj,,3,8157,f.a,503260ont,,1
00225,20021211_18:47:06,ENG40,4,4,2172,f.o,319353hjh,,2,5532,f.a,309452ulx,,3
00226,20021211_18:52:36,ENG40,4,4,5149,f.a,480703gim,,1,9948,m.a,405756kfo,,3
00227,20021211_20:07:14,ENG40,4,4,7870,f.a,773947xqx,,2,8028,f.a,617630yqm,,2
00228,20021211_20:17:27,ENG40,4,4,7099,f.a,607277egy,,3,6800,f.a,410833bgp,,2
00229,20021211_20:20:34,ENG40,4,4,2192,m.o,412478lfc,,1,3207,f.a,617493fhr,,2
00230,20021211_20:22:29,ENG40,4,4,2523,f.a,630632iqx,,1,7726,f.a,404664vej,,1
00231,20021211_20:28:15,ENG40,4,4,3097,m.a,413567sij,,2,2011,f.a,818546dqo,,3
00232,20021211_20:47:43,ENG40,4,3.5,1646,m.a,570828rot,,2,4268,f.a,267496eqe,,1
00233,20021211_20:55:57,ENG40,4,4,1106,f.a,401334oji,,2,4583,m.a,978355imm,,2
00234,20021211_21:14:11,ENG40,4,3.5,6257,f.a,918906kop,,1,8257,f.a,347268pgl,,1
00235,20021211_21:16:51,ENG40,4,4,3852,f.a,573635gqi,,3,2678,f.a,850477jkj,,3
00236,20021211_21:23:26,ENG40,4,4,8804,f.o,831429cpe,,3,6407,f.a,646515trc,,1
00237,20021211_21:54:44,ENG40,4,4,3341,f.a,802287xjg,,2,5825,f.a,585274kfb,,3
00238,20021211_22:14:50,ENG40,4,4,2620,m.o,401867mlx,,2,5922,f.a,706208cgn,,3
00239,20021211_22:15:26,ENG40,4,4,1460,f.a,401273jlt,,3,8041,f.a,301788xdt,,1
00240,20021211_22:15:39,ENG40,4,4,7823,f.a,480829pbk,,2,8934,f.a,781710fps,,1
00241,20021211_23:06:04,ENG40,3,3,8097,f.a,267975tjl,,1,8700,m.o,413221mrn,,1
00242,20021211_23:50:34,ENG40,4,4,1459,f.o,413734srg,,3,2907,f.a,770241glw,,1
00243,20021212_00:04:01,ENG40,4,3.5,8097,f.a,267975tjl,,,5884,m.a,917771vkl,,
00244,20021212_01:15:04,ENG40,4,4,7645,f.a,831420tdp,,2,8477,m.o,217390kkf,,1
00245,20021212_02:16:57,ENG40,4,3.5,6722,f.a,503297mnk,,2,6307,f.o,503640icb,,3
00246,20021212_14:18:12,ENG01,4,4,9269,m.a,516883rov,,2,8880,f.a,814280qbd,,1
00247,20021212_14:19:56,ENG01,4,4,4476,m.o,917916bel,,1,1522,m.a,781981gos,,3
00248,20021212_14:22:29,ENG01,4,4,9195,m.a,201788elh,,1,5728,f.o,703242sen,,2
00249,20021212_14:27:08,ENG01,4,4,1467,m.a,212877glm,,2,5180,f.a,856401kbd,,2
00250,20021212_14:53:24,ENG01,4,4,4773,m.o,301394tko,,3,7810,f.a,212844qmq,,3
00251,20021212_14:55:17,ENG01,4,4,1013,f.a,240373whs,,3,1201,m.a,919515ynr,,3
00252,20021212_15:04:46,ENG01,4,4,9125,f.a,267918khu,,1,1948,m.a,412841ohw,,1
00253,20021212_15:20:05,ENG01,4,4,8907,f.a,315472rdb,,3,7226,f.a,215464jbb,,3
00254,20021212_15:25:19,ENG01,4,3,8689,f.a,770565ebg,,2,3911,f.a,315458hhp,,2
00255,20021212_16:55:05,ENG01,4,4,7703,m.a,406522nde,,3,4742,f.a,352335pmm,,3
00256,20021212_17:24:28,ENG01,4,4,4358,f.a,309383ufy,,2,8737,f.a,614447ipm,,2
00257,20021212_17:50:53,ENG01,4,4,3365,f.a,614291oip,,3,3227,f.a,215624npx,,2
00258,20021212_18:15:50,ENG01,4,3,5532,f.a,309452ulx,,3,5531,m.a,215745ony,,
